%time,4220.66048,7105.71575,field.altitude,field.utm_easting,field.utm_northing,field.zone,field.letter
1.58E+18,4220.66048,7105.71575,9.4,587904.9699,6948922.148,43,V
1.58E+18,4220.6601,7105.71671,9.2,587957.0863,6948890.096,43,V
1.58E+18,4220.65995,7105.71779,8.9,588008.907,6948869.184,43,V
1.58E+18,4220.65977,7105.71905,8.7,588076.0968,6948848.682,43,V
1.58E+18,4220.65933,7105.72004,8.8,588128.5131,6948805.495,43,V
1.58E+18,4220.65901,7105.72105,8.6,588180.6335,6948773.447,43,V
1.58E+18,4220.65862,7105.72202,8.6,588233.0524,6948730.262,43,V
1.58E+18,4220.65845,7105.72273,8.8,588269.5084,6948708.943,43,V
1.58E+18,4220.65819,7105.72343,9.3,588306.2626,6948676.487,43,V
1.58E+18,4220.65823,7105.72415,8.9,588341.8262,6948688.584,43,V
1.58E+18,4220.65807,7105.72518,9.6,588393.6526,6948667.677,43,V
1.58E+18,4220.65755,7105.72631,9.6,588456.6205,6948613.632,43,V
1.58E+18,4220.65747,7105.72766,9.7,588523.52,6948604.277,43,V
1.58E+18,4220.65718,7105.72873,9.8,588580.7707,6948572.373,43,V
1.58E+18,4220.6572,7105.7298,9.3,588636.8274,6948585.022,43,V
1.58E+18,4220.65705,7105.73058,10.5,588673.2877,6948563.708,43,V
1.58E+18,4220.65694,7105.73138,11.2,588714.5727,6948553.67,43,V
1.58E+18,4220.65682,7105.73211,11.2,588755.8579,6948543.632,43,V
1.58E+18,4220.65655,7105.73337,11.1,588818.2354,6948511.87,43,V
1.58E+18,4220.65618,7105.73484,11,588896.2838,6948469.384,43,V
1.58E+18,4220.65583,7105.73592,10.9,588953.5407,6948437.486,43,V
1.58E+18,4220.65559,7105.73702,10.6,589010.7986,6948405.589,43,V
1.58E+18,4220.65527,7105.73816,10.3,589068.0576,6948373.693,43,V
1.58E+18,4220.6548,7105.73915,10.1,589120.4946,6948330.521,43,V
1.58E+18,4220.6545,7105.73988,9.6,589157.2614,6948298.074,43,V
1.58E+18,4220.65414,7105.74157,7.4,589245.5668,6948255.873,43,V
1.58E+18,4220.65409,7105.7429,6.2,589317.6,6948246.672,43,V
1.58E+18,4220.65401,7105.74486,5.7,589414.9511,6948249.305,43,V
1.58E+18,4220.65359,7105.7461,5.5,589483.0676,6948195.417,43,V
1.58E+18,4220.65299,7105.74698,6.3,589525.8686,6948129.698,43,V
1.58E+18,4220.65268,7105.74848,5.3,589603.6334,6948098.367,43,V
1.58E+18,4220.65214,7105.74955,6.7,589661.508,6948044.205,43,V
1.58E+18,4220.65183,7105.75073,7.9,589723.9039,6948012.459,43,V
